epoch,step,min,max,mean,std
1,10000,-0.001747123897075653,0.014905516058206558,0.006579196080565453,0.008326319977641106
2,20000,0.005025893449783325,0.04656319320201874,0.02579454332590103,0.020768649876117706
3,30000,0.0062741562724113464,0.01012779027223587,0.008200973272323608,0.001926816999912262
4,40000,-0.003278568387031555,0.030068188905715942,0.013394810259342194,0.01667337864637375
5,50000,-0.0026778429746627808,0.008148342370986938,0.002735249698162079,0.00541309267282486
6,60000,-0.048285603523254395,0.009156882762908936,-0.01956436038017273,0.028721243143081665
7,70000,0.015669044107198715,0.04561879485845566,0.030643919482827187,0.014974875375628471
8,80000,-0.012335121631622314,0.004761070013046265,-0.003787025809288025,0.00854809582233429
9,90000,0.0020933765918016434,0.029444728046655655,0.015769053250551224,0.013675675727427006
10,100000,-0.033464133739471436,0.0029372572898864746,-0.01526343822479248,0.018200695514678955
