epoch,step,min,max,mean,std
1,10000,-0.0039005542639642954,0.013058488257229328,0.0015985583886504173,0.003313865978270769
2,20000,-0.009745056740939617,0.04179831221699715,0.006801959592849016,0.009591162204742432
3,30000,-0.0031247457955032587,0.009258394129574299,0.0027843210846185684,0.002891435520723462
4,40000,-0.015516025945544243,0.04246314615011215,0.004140596371144056,0.008745594881474972
5,50000,-0.021869124844670296,0.027506012469530106,0.0012406222522258759,0.0075469412840902805
6,60000,-0.0689554288983345,0.01341271959245205,-0.006523829884827137,0.01560072973370552
7,70000,-0.004267740994691849,0.07107144594192505,0.012253173626959324,0.01440112292766571
8,80000,-0.09866993129253387,0.07102395594120026,-0.002733823610469699,0.020035887137055397
9,90000,-0.01885218359529972,0.06247061863541603,0.009192303754389286,0.013704429380595684
10,100000,-0.0719001516699791,0.04672766104340553,-0.009014328010380268,0.019035186618566513
