epoch,step,min,max,mean,std
1,10000,-0.5617073178291321,0.8797340393066406,-0.0033164338674396276,0.07142330706119537
2,20000,-0.05145569145679474,0.0548141784965992,-0.0004756933485623449,0.007262438535690308
3,30000,-0.1243581771850586,0.0699765607714653,0.00017920020036399364,0.009323530830442905
4,40000,-0.08989575505256653,0.037589747458696365,0.0002756689500529319,0.008046519942581654
5,50000,-0.28796452283859253,0.4236864149570465,-0.0030094454996287823,0.06029285117983818
6,60000,-0.17443834245204926,0.0855129212141037,0.0006036373088136315,0.013738781213760376
7,70000,-0.06135939061641693,0.06491317600011826,0.0015693939058110118,0.01124553196132183
8,80000,-0.046065155416727066,0.05252508074045181,0.00025655003264546394,0.0053727575577795506
9,90000,-0.21648536622524261,0.5132510662078857,-0.0018126987852156162,0.038831260055303574
10,100000,-0.051417477428913116,0.02938678488135338,0.0002479710092302412,0.003780936123803258
